doc_id,source_file,marker,words_before,words_after
B-GD-001,CorpusB/GDELT/B-GD-001.txt,gdelt_article_marker,727,605
B-GD-002,CorpusB/GDELT/B-GD-002.txt,gdelt_article_marker,533,417
B-GD-006,CorpusB/GDELT/B-GD-006.txt,gdelt_article_marker,1319,1200
B-GD-007,CorpusB/GDELT/B-GD-007.txt,gdelt_article_marker,5515,5398
B-GD-008,CorpusB/GDELT/B-GD-008.txt,gdelt_article_marker,652,536
B-GD-009,CorpusB/GDELT/B-GD-009.txt,gdelt_article_marker,1016,897
B-GD-011,CorpusB/GDELT/B-GD-011.txt,gdelt_article_marker,618,494
B-GD-012,CorpusB/GDELT/B-GD-012.txt,gdelt_article_marker,746,631
B-GD-013,CorpusB/GDELT/B-GD-013.txt,gdelt_article_marker,652,539
B-GD-015,CorpusB/GDELT/B-GD-015.txt,gdelt_article_marker,833,719
B-GD-016,CorpusB/GDELT/B-GD-016.txt,gdelt_article_marker,717,602
B-GD-017,CorpusB/GDELT/B-GD-017.txt,gdelt_article_marker,569,455
B-GD-018,CorpusB/GDELT/B-GD-018.txt,gdelt_article_marker,836,710
B-GD-019,CorpusB/GDELT/B-GD-019.txt,gdelt_article_marker,1225,1111
B-GD-020,CorpusB/GDELT/B-GD-020.txt,gdelt_article_marker,1626,1513
B-GD-021,CorpusB/GDELT/B-GD-021.txt,gdelt_article_marker,592,480
B-GD-023,CorpusB/GDELT/B-GD-023.txt,gdelt_article_marker,1376,1261
B-GD-024,CorpusB/GDELT/B-GD-024.txt,gdelt_article_marker,1186,1073
B-GD-025,CorpusB/GDELT/B-GD-025.txt,gdelt_article_marker,1834,1720
B-GD-026,CorpusB/GDELT/B-GD-026.txt,gdelt_article_marker,819,704
B-GD-027,CorpusB/GDELT/B-GD-027.txt,gdelt_article_marker,778,660
B-GD-029,CorpusB/GDELT/B-GD-029.txt,gdelt_article_marker,1502,1387
B-GD-030,CorpusB/GDELT/B-GD-030.txt,gdelt_article_marker,566,453
B-GD-031,CorpusB/GDELT/B-GD-031.txt,gdelt_article_marker,786,674
B-GD-032,CorpusB/GDELT/B-GD-032.txt,gdelt_article_marker,1177,1067
B-GD-033,CorpusB/GDELT/B-GD-033.txt,gdelt_article_marker,1171,1055
B-GD-034,CorpusB/GDELT/B-GD-034.txt,gdelt_article_marker,712,593
