firm_name,date_published,register_consulted,lookup_date,udyam_verified,iec_verified,cres_verified,manufacturer_vs_merchant
ALPHA MARINE,09/13/2017,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,indeterminate
ALPHA MARINE LIMITED,11/12/2025,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,manufacturer
ANJANEYA SEA FOODS,06/05/2018,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,indeterminate
APEX FROZEN FOODS LIMITED,09/08/2020,BSE/NSE (Matched),2026-09-05,False,False,False,manufacturer
AQUATECH FEED & SEAFOODS PRIVATE LIMITED,04/06/2026,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,manufacturer
AVANTI FROZEN FOODS PRIVATE LIMITED,03/04/2025,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,manufacturer
Accelerated Freeze Drying Company Limited (Unit 2),01/18/2024,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,manufacturer
Akshay Food Impex Pvt. Ltd.,05/30/2019,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,manufacturer & merchant
Alashore Marine Exports,01/10/2017,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,merchant exporter
Albys Agro Pvt. Ltd.,02/05/2021,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,manufacturer
Allana Investments & Trading Co. (Factory Plant 208),09/18/2009,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,merchant exporter
Amalgam Foods c/o M/s Kallinga Marine & Transport Pvt Ltd,09/18/2009,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,manufacturer
Amison Foods Limited,08/30/2023,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,manufacturer
Ananda Foods,09/18/2009,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,indeterminate
Aparna Marine Exports,11/16/2023,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,merchant exporter
Apex Frozen Foods Pvt Ltd,12/17/2012,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,manufacturer
Aquatica Frozen Foods Global Pvt. Ltd.,05/03/2017,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,manufacturer & merchant
Arya Sea Foods Private Limited,07/24/2017,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,manufacturer
Asvini Fisheries,09/18/2009,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,indeterminate
Asvini Fisheries Private Limited,01/17/2017,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,manufacturer
Avanti Frozen Foods Private Limited,07/01/2016,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,manufacturer
Avanti Frozen Foods Private Limited,01/17/2018,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,manufacturer
Ayshwarya Sea Food Private Limited,09/18/2009,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,manufacturer
B B Estates & Exports Pvt. Ltd,05/02/2018,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,manufacturer & merchant
B-ONE BUSINESS HOUSE PVT. LTD.,05/23/2025,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,manufacturer
B-ONE BUSINESS HOUSE PVT. LTD.,07/16/2019,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,manufacturer
BABY MARINE PRODUCTS,09/18/2009,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,indeterminate
BARAKA OVERSEAS TRADERS,09/18/2009,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,merchant exporter
BASU INTERNATIONAL UNIT V,02/10/2025,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,indeterminate
BMR Industries Private Limited,12/15/2015,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,manufacturer
BRC MARINE PRODUCTS,11/10/2025,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,indeterminate
Balaji Bio Tech Limited,09/18/2009,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,manufacturer
Balaji Seafoods Exports (India) Ltd.,09/18/2009,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,manufacturer & merchant
Bluepark Seafoods (PVT) Ltd.,10/23/2009,"BSE/NSE, Udyam, DGFT IEC, Spices Board CRES (No Match)",2026-09-05,False,False,False,manufacturer
