firm_name,date_published
ALPHA MARINE,09/13/2017
ALPHA MARINE LIMITED,11/12/2025
ANJANEYA SEA FOODS,06/05/2018
APEX FROZEN FOODS LIMITED,09/08/2020
AQUATECH FEED & SEAFOODS PRIVATE LIMITED,04/06/2026
AVANTI FROZEN FOODS PRIVATE LIMITED,03/04/2025
Accelerated Freeze Drying Company Limited (Unit 2),01/18/2024
Akshay Food Impex Pvt. Ltd.,05/30/2019
Alashore Marine Exports,01/10/2017
Albys Agro Pvt. Ltd.,02/05/2021
Allana Investments & Trading Co. (Factory Plant 208),09/18/2009
Amalgam Foods c/o M/s Kallinga Marine & Transport Pvt Ltd,09/18/2009
Amison Foods Limited,08/30/2023
Ananda Foods,09/18/2009
Aparna Marine Exports,11/16/2023
Apex Frozen Foods Pvt Ltd,12/17/2012
Aquatica Frozen Foods Global Pvt. Ltd.,05/03/2017
Arya Sea Foods Private Limited,07/24/2017
Asvini Fisheries,09/18/2009
Asvini Fisheries Private Limited,01/17/2017
Avanti Frozen Foods Private Limited,07/01/2016
Avanti Frozen Foods Private Limited,01/17/2018
Ayshwarya Sea Food Private Limited,09/18/2009
B B Estates & Exports Pvt. Ltd,05/02/2018
B-ONE BUSINESS HOUSE PVT. LTD.,05/23/2025
B-ONE BUSINESS HOUSE PVT. LTD.,07/16/2019
BABY MARINE PRODUCTS,09/18/2009
BARAKA OVERSEAS TRADERS,09/18/2009
BASU INTERNATIONAL UNIT V,02/10/2025
BMR Industries Private Limited,12/15/2015
BRC MARINE PRODUCTS,11/10/2025
Balaji Bio Tech Limited,09/18/2009
Balaji Seafoods Exports (India) Ltd.,09/18/2009
Bluepark Seafoods (PVT) Ltd.,10/23/2009
Brilliant Exports,09/18/2009
CHOICE CANNING COMPANY,09/18/2009
CORLIM MARINE EXPORTS PVT.LTD.,10/18/2019
Calcutta Seafoods Pvt. Ltd,09/18/2009
Capithan Exporting Company,05/10/2016
Castlerock Fisheries,06/28/2023
Castlerock Fisheries Pvt Ltd.,09/18/2009
Cham Ice and Cold Storage,09/18/2009
Cherukattu Industries (Marine Division),09/18/2009
Choice Canning Company Unit III,05/02/2023
Choice trading corporation PVT. LTD,04/11/2025
Coastal Aqua Private Limited,07/21/2017
Coastal Corporation Limited - Unit 2,10/23/2013
Coastal Corporation Ltd Unit III,07/24/2023
Coastal Corporation Ltd.,07/18/2011
Cochin Frozen Food Exports,09/18/2009
Cofoods Processors Private Limited,02/21/2023
"Coir Trading C.,  Pvt Ltd",09/18/2009
Crystal Sea Foods Private Limited,05/02/2018
DEVI FISHERIES LIMITED,07/22/2025
DWARAKA SEAFOODS,11/19/2024
Devi Fisheries Limited,10/16/2018
Devi Fisheries Limited - Unit 4,11/17/2021
Devi Fisheries Limited II,12/02/2012
Devi Fisheries Limited-Unit 3,09/18/2009
Devi Marine Food Exports Ltd.,09/18/2009
Devi Sea Foods Limited,03/14/2025
Devi Sea Foods Limited,08/02/2023
Devi Sea Foods Limited,09/18/2009
Devi Seafoods Limited,09/18/2009
Edhayam Frozen Foods PVT Ltd.,10/25/2024
Elite Sea Foods,09/18/2009
Excellent Fisheries Private Limited,04/08/2025
FEDORA SEA FOODS PRIVATE LIMITED,08/25/2025
Falcon Marine Exports Ltd.,02/01/2018
Falcon Marine Exports Ltd.,04/08/2015
Falcon Marine Exports Ltd.,08/10/2016
Falcon Marine Exports Ltd.,11/18/2014
Falcon Marine Exports Pvt. Ltd.,07/31/2020
Fernando Intercontinental,09/18/2009
Five Star Marine Exports Pvt. Limited,01/11/2016
"Forstar Frozen Foods PVT LTD ,UNIT 2",09/18/2009
GEO Seafoods,09/29/2009
GKS Business Associates,09/18/2009
Gadre Marine Export,11/19/2015
Geo Aquatic Products(P) Ltd.,09/18/2009
Global Sea Foods and Hotels Ltd. (Plant),09/18/2009
Godavari Mega Aqua Food Park Pvt Ltd,09/03/2021
Green Asia Impex Private Limited,02/07/2025
Growel Processors Private Limited,05/01/2017
HIGHLAND AGRO FOOD PRIVATE LIMITED,09/29/2023
HINDUSTAN LEVER LIMITED,09/18/2009
HN Indigos Pvt. Ltd.,01/31/2018
Hari Marine Pvt Ltd,06/08/2018
Haripriya Marine Export,11/28/2018
Hyson Exports Private Limited,06/29/2020
IFB AGRO INDUSTRIES,09/18/2009
INNOVATIVE FOODS LIMITED,09/18/2009
Indo Fisheries,08/13/2015
Indo-Marine Agencies Kerala Pvt Ltd,09/18/2009
International Freezfish Exports (Unit II),09/18/2009
JASPER AQUA EXPORTS LIMITED,09/18/2009
JAYALAKSHMI SEA FOODS PVT LTD UNIT III,12/12/2024
Jagadeesh Marine Exports,04/03/2018
Jayalakshmi Sea Foods Pvt. Ltd.,05/25/2016
Jayalakshmi Sea Foods Pvt. Ltd. Unit II,01/02/2015
K.N.C. AGRO LIMITED,08/25/2017
KADALKANNY FROZEN FOODS,09/18/2009
KALYANEE MARINE,09/18/2009
KINGS MARINE PRODUCTS,09/18/2009
KV Marine Exports,09/18/2009
Kader Exports Private Limited,11/06/2012
Kader Exports Private Limited Unit 3,01/10/2023
"Kader Exports Private Limited, Unit 04",09/26/2017
"Kader Exports Private Limited, Unit 2",01/12/2021
"Kader Exports Private Limited, Unit 5",09/18/2009
Kalyan Aqua & Marine Exports India Pvt Ltd,11/19/2014
Karunya Marine Exports Pvt. Ltd.,10/05/2015
Kay Kay Exports,11/18/2010
King Fisheries Limited,09/18/2009
Koluthara Exports,06/28/2021
LNSK Green House Agro Products LLP,06/25/2020
M/S GLOBAL SEA FOODS & HOTELS LIMITED,09/18/2009
M/S Silver Sea Food Unit II,04/15/2019
