alert_number,alert_name,list_type,firm_name,address_raw,state,country,product_code,product_desc,date_published,notes,source_url,extraction_date
28-02,Black Pepper from India (DWPE),countrywide_blanket,,,,INDIA,28 A - - 54,"Pepper,Black, Whole (Spice)",,,https://www.accessdata.fda.gov/cms_ia/importalert_90.html,2026-08-10
28-02,Black Pepper from India (DWPE),countrywide_blanket,,,,INDIA,28 B - - 54,"Pepper, Black, Ground, Cracked  (Spice)",,,https://www.accessdata.fda.gov/cms_ia/importalert_90.html,2026-08-10
16-35,Raw and Cooked Shrimp from India (DWPE),countrywide_blanket,,,,INDIA,16 J - B 05,"Shrimp & Prawns, Raw, Fresh, Ambient",,Problems;	filth decomposition and Salmonella,https://www.accessdata.fda.gov/cms_ia/importalert_43.html,2026-08-10
16-35,Raw and Cooked Shrimp from India (DWPE),countrywide_blanket,,,,INDIA,16 X - B 21,"Shrimp and prawns, Aquaculture Harvested Fishery/Seafood Products, Raw, Fresh, Ambient",,Problems;	filth decomposition and Salmonella,https://www.accessdata.fda.gov/cms_ia/importalert_43.html,2026-08-10
16-35,Raw and Cooked Shrimp from India (DWPE),countrywide_blanket,,,,INDIA,16 J - C 05,"Shrimp & Prawns, Raw, Fresh, Refrigerated",,Problems;	filth decomposition and Salmonella,https://www.accessdata.fda.gov/cms_ia/importalert_43.html,2026-08-10
16-35,Raw and Cooked Shrimp from India (DWPE),countrywide_blanket,,,,INDIA,16 X - C 21,"Shrimp and prawns, Aquaculture Harvested Fishery/Seafood Products, Raw, Fresh, Refrigerated",,Problems; filth decomposition and Salmonella,https://www.accessdata.fda.gov/cms_ia/importalert_43.html,2026-08-10
16-35,Raw and Cooked Shrimp from India (DWPE),countrywide_blanket,,,,INDIA,16 J - D 05,"Shrimp & Prawns, Raw - Fresh, Frozen, Natural State",,Problems; filth decomposition and Salmonella,https://www.accessdata.fda.gov/cms_ia/importalert_43.html,2026-08-10
16-35,Raw and Cooked Shrimp from India (DWPE),countrywide_blanket,,,,INDIA,16 X - D 21,"Shrimp and prawns, Aquaculture Harvested Fishery/Seafood Products, Raw - Fresh, Frozen, Natural State",,Problems; filth decomposition and Salmonella,https://www.accessdata.fda.gov/cms_ia/importalert_43.html,2026-08-10
16-35,Raw and Cooked Shrimp from India (DWPE),countrywide_blanket,,,,INDIA,16 J - T 05,"Shrimp & Prawns, Packaged Food (Not Commercially Sterile)",,Problems; filth decomposition and Salmonella,https://www.accessdata.fda.gov/cms_ia/importalert_43.html,2026-08-10
16-35,Raw and Cooked Shrimp from India (DWPE),countrywide_blanket,,,,INDIA,16 X - T 21,"Shrimp and prawns, Aquaculture Harvested Fishery/Seafood Products, Packaged Food (Not Commercially Sterile)",,Problems; filth decomposition and Salmonella,https://www.accessdata.fda.gov/cms_ia/importalert_43.html,2026-08-10
