firm_name,source_alert,date_published,register_consulted,lookup_date,firm_type_manufacturer_vs_merchant,tier_status
M.S. S. ASAN EXPORTS,99-19,04/26/2011,,,,
M.V.J. Foods (India),99-19,09/16/2009,,,,
M/s Dahyabhai Vithaldas,99-19,09/16/2009,,,,
M/S GLOBAL SEA FOODS & HOTELS LIMITED,16-35,09/18/2009,,,,
M/S Green Earth Products,99-19,09/16/2009,,,,
M/S Jhaveri Industries,99-19,06/23/2010,,,,
M/S KESHAV EXPORTS PVT LTD,99-19,09/16/2009,,,,
M/S Ravi Spice Processors Pvt Ltd,99-19,08/01/2012,,,,
M/S Silver Sea Food Unit II,16-35,04/15/2019,,,,
M/s. ABM Marine Products,16-35,06/22/2026,,,,
M/S. Bhimraj Exports,16-35,01/29/2026,,,,
M/S. Castlerock Fisheries Pvt. Ltd. UNIT - III,16-35,03/02/2020,,,,
M/s. SEA FOODS PRIVATE LIMITED,16-35,05/30/2019,,,,
M/s. Shada Exports,16-35,05/30/2019,,,,
M/S. SHAH AMRUTLAL BACHUBHAI & COMPANY,99-19,09/16/2009,,,,
M/S. Shimpo Seafoods,16-35,05/20/2014,,,,
M/s.Ananda Enterprises (India) Pvt Ltd,16-35,04/18/2013,,,,
M/S.DEVI FISHERIES LIMITED,16-35,09/18/2009,,,,
MAC AGRI EXPORTS,99-19,12/02/2010,,,,
Macaroni/Noodle Products,99-19,12/23/2021,,,,
Madhur Food Products Ltd,99-19,09/16/2009,,,,
MADON PURE FOODS PVT LT,99-19,08/03/2022,,,,
Madon Pure Foods Pvt Ltd,99-19,08/03/2022,,,,
Magnum Estates Limited,16-35,11/27/2018,,,,
Magnum Export,16-35,09/18/2009,,,,
MAGNUM EXPORT C/O TRIVENI FISHERIES PVT. LTD.,16-35,09/18/2009,,,,
Magnum Sea Foods Limited,16-35,01/30/2020,,,,
Mahashian Di Hatti Ltd.,99-19,09/16/2009,,,,
Mahashian Di Hatti Pvt. Ltd.,99-19,07/12/2016,,,,
Maiyas Beverages & Foods,99-19,06/21/2017,,,,
MANGALA MARINE EXIM INDIA PRIVATE LIMITED,16-35,09/18/2009,,,,
"Mangala Marine Exim India Pvt. Ltd, (Unit 2)",16-35,08/24/2015,,,,
Mangala Marine Exim India Pvt. Ltd. Unit # 1,16-35,09/07/2023,,,,
Mangala Sea Products,16-35,09/18/2009,,,,
MANGALA SEAFOODS,16-35,10/06/2016,,,,
MANJILAS AGRO FOODS PVT.LTD.,99-19,10/17/2016,,,,
MANJILAS FOOD TECH (P) Ltd,99-19,10/17/2016,,,,
MANJILAS FOOD TECH PVT LTD,99-19,10/17/2016,,,,
Manjilas Food Tech Pvt. Ltd.,99-19,10/17/2016,,,,
MATARA AQUACULTURE WEST BENGAL PRIVATE LIMITED,16-35,07/09/2025,,,,
MATRAS EXPORTERS,99-19,07/31/2026,,,,
Megaa Moda Pvt. Ltd.,16-35,03/08/2019,,,,
Metco Export International,99-19,07/10/2012,,,,
"Milesh Marine Exports Pvt Ltd.,",16-35,01/16/2019,,,,
Milesh Marine Exports Pvt. Ltd.,16-35,12/20/2019,,,,
Milsha Agro Exports Pvt Ltd,16-35,04/10/2018,,,,
Milsha Sea Product,16-35,06/17/2020,,,,
Miltop Exports,99-19,09/16/2009,,,,
"Mindhola Foods, LLP",16-35,05/08/2020,,,,
MMC EXPORTS LTD,16-35,09/29/2020,,,,
MONSUN FOODS PRIVATE LTD,16-35,06/23/2017,,,,
MOURYA AQUEX PRIVATE LIMITED,16-35,06/01/2020,,,,
MTR Foods Private Limited,99-19,09/16/2009,,,,
Munnangi Seafoods Private Limited,16-35,04/11/2014,,,,
Naga Hanuman Fish Packers,16-35,04/15/2024,,,,
Naik Oceanic Export Pvt Ltd,16-35,05/13/2020,,,,
Nani Agro Foods P Ltd.,99-19,09/16/2009,,,,
Navjyot International,99-19,09/16/2009,,,,
Navrang Herbal,99-19,12/05/2023,,,,
NAZARETH FOODS PVT LTD,99-19,09/16/2009,,,,
NEELI AQUA PRIVATE LIMITED,16-35,07/01/2016,,,,
NEKKANTI MEGA FOOD PARK PRIVATE LIMITED-UNIT#1,16-35,07/15/2019,,,,
