record_id,comment_id,udyam_verified,instruments_named,multi_instrument_flag,comment_text
B-YT-001,C001,False,DGFT,False,Sir what to do if EBRC is not reflecting on DGFT portal?
B-YT-002,C002,False,DGFT,False,"How do apply for the bond wavier for the advance Authorisation , for which export obligation is complete and duty free import has to be done... The eBRC has been uploaded on the dgft website , but is not visible under the bill of export"
B-YT-002,C003,False,DGFT,False,HII HOW CAN I CHECK MY REX NUMBER STATUS . CAN I APPLY REX NUMBER ON THE DGFT SITE
B-YT-002,C004,False,DGFT,False,"hey please help !! i am filing complaint against a foreign exporter in dgft website , I am facing problems in filling data in concerned office column please suggest what to do now ?"
B-YT-002,C005,False,none,False,I am interested to know Learning career path for CHA or Export marketing Courses kindly provide an email id of the perosn
B-YT-002,C006,False,none,False,Request you to guide us in applying for EODC online in new portal.
B-YT-002,C007,False,DGFT,False,"This video is really informative. My humble request to DGFT to make more informative videos on each chapter of new FTP-2021, HBP, SCOMET, PLI Schemes. This is going to boost confidence and knowledge level amongst all SMEs and new exporters."
B-YT-002,C008,False,DGFT,False,"This is a very good initiative. We also request similar Demo Videos on Migration of AA / EPCG / DFIA online modules on the DGFT e-Platform. Regards, Team PLEXCONCIL"
B-YT-002,C009,False,none,False,"Why there is no uploading option of import details?? I have 1257 import items which consumes our productivity if updated individually over website. For export products there is uploading option; however, typically, import products will always high."
B-YT-003,C010,False,DGFT,False,com.sttl.dsc.sign pdf error in dgft site pl help
B-YT-003,C011,False,none,False,I am getting an error PAN details not matched with PAN details in DSC. I have prepared Organisation DSC. Its Proprietorship and Proprietor is Karta of HUF. So Organisation PAN is of HUF and Authorised person PAN is mentioned as Karta's PAN. However we are getting above error
B-YT-003,C012,False,DGFT,False,Is Epass2003 auto Support Dgft ??
B-YT-005,C013,False,none,False,"sir , is it Possible to Remove Resigned Designated Partner from this List of Designated partners as appearing in the Portal as the system not allowing the same."
B-YT-005,C014,False,DGFT,False,Payment completed but not showing on DGFT website
B-YT-005,C015,False,none,False,Can I just click on update iec and click on submit if there is no change in any details. Will this be considered as renewal sir
B-YT-005,C016,False,none,False,Sir Mai iss renew toh kaqrdiya hu icegate id but sir abb isme dsc token apply karna hai toh woh kaise add karenge
B-YT-005,C017,False,none,False,CAN I CHANGE IN IEC CODE PROPERITOR FIRM TO ANTOEHR PERSON
B-YT-005,C018,False,none,False,For the last four years we have been trying to change the name transfer.. but we are unable will process the transfer due portal issue . please advise the advocate name contact number
B-YT-005,C019,False,none,False,Sir mere paas abhi current account nhi h firm name k saath to kya abhi me iec code le sakta hu baad me jab current account open karwaunga tab update kar dunga abhi saving account hi daal du
B-YT-005,C020,False,DGFT,False,In dgft home page..my iec shows deactivated. Can i activate this month or is ther any other procedure to follow. And there sre no changes in iec.
B-YT-006,C021,False,none,False,Sir..how much do you charge to update IEC code?
B-YT-006,C022,False,none,False,Hiii sir muja Aluminium scarp import karna ha or mauja 15 din ka bad money dana ha DA me to kia muja exportre aluminium scrap import karega
B-YT-006,C023,False,none,False,Sir plz ek video bana dijiye export executive ka job kaise le sakte hai aur uska role kya hota hai aur kya kya skill hone chiye plz sir bana dijiye ek
B-YT-006,C024,False,none,False,"Sir , quartz stone powder kaha export hota hai?❤"
B-YT-007,C025,False,none,False,Bhaiya deactivate IEC ka password accountant bhool gaya hai... New forget otp email pe ni a raha hai..kese reactivate kare...
