Topic,Words,Frequency,Class
-1,"mpeda, export, trade, india, beer",59,Facility Audit & Hygiene Standards
0,"ex, eu, export, food, spices",67,Facility Audit & Hygiene Standards
1,"author, user, sir, iec, hurdles",38,Facility Audit & Hygiene Standards
2,"tea, nepal, india, said, cardamom",28,Facility Audit & Hygiene Standards
3,"export, agricultural, mangoes, district, apeda",26,Facility Audit & Hygiene Standards
4,"data, eudr, 2025, et al, al",22,Facility Audit & Hygiene Standards
5,"apeda, download, pdf, format, size",21,Facility Audit & Hygiene Standards
6,"fisheries, seafood, exports, value, minister",18,Facility Audit & Hygiene Standards
7,"rice, realisation, enjoys, fiscal, basmati",1,Facility Audit & Hygiene Standards
8,"yogi, indias, farmers, opportunities, minister",15,Facility Audit & Hygiene Standards
9,"news, comments, india, 2026, whisky",15,Facility Audit & Hygiene Standards
10,"sustainability, ar, inf, directive, assurance",16,Facility Audit & Hygiene Standards
11,"cent, exports, value, volume, seafood",15,Facility Audit & Hygiene Standards
12,"shall, food, meat, storage, water",12,Facility Audit & Hygiene Standards
13,"company, spices, fy26, growth, limited",9,Facility Audit & Hygiene Standards
14,"slavery, modern slavery, modern, supply, actors",9,Facility Audit & Hygiene Standards
-1,"rice, exports, cotton, trade, said",11,Laboratory Testing & Residue Assays
0,"100, spices, testing, pesticide, analytical",18,Laboratory Testing & Residue Assays
1,"author, user, hey, discourse, hurdles",3,Laboratory Testing & Residue Assays
2,"tea, nepal, indian, testing, laboratory",6,Laboratory Testing & Residue Assays
3,"oman, west asia, asia, land, west",2,Laboratory Testing & Residue Assays
7,"rice, tonnes, said, million, government",17,Laboratory Testing & Residue Assays
8,"region, tribal, tribune, millet, yogi",3,Laboratory Testing & Residue Assays
9,"comments, selection, expert, english, panel",1,Laboratory Testing & Residue Assays
