Topic,Words,Frequency,Class
-1,"mpeda, export, trade, india, scheme",70,Cross-Cutting & Institutional Governance
0,"ex, eu, export, spices, food",85,Cross-Cutting & Institutional Governance
1,"author, user, sir, iec, hurdles",41,Cross-Cutting & Institutional Governance
2,"tea, nepal, india, said, indian",34,Cross-Cutting & Institutional Governance
3,"export, agricultural, mangoes, district, apeda",28,Cross-Cutting & Institutional Governance
4,"data, eudr, 2025, et al, al",22,Cross-Cutting & Institutional Governance
5,"apeda, download, pdf, format, size",21,Cross-Cutting & Institutional Governance
6,"fisheries, seafood, exports, value, minister",18,Cross-Cutting & Institutional Governance
7,"rice, tonnes, million, said, government",18,Cross-Cutting & Institutional Governance
8,"yogi, indias, farmers, minister, opportunities",18,Cross-Cutting & Institutional Governance
9,"news, comments, india, 2026, whisky",16,Cross-Cutting & Institutional Governance
10,"sustainability, ar, inf, directive, assurance",16,Cross-Cutting & Institutional Governance
11,"cent, exports, value, volume, seafood",15,Cross-Cutting & Institutional Governance
12,"shall, food, meat, storage, water",12,Cross-Cutting & Institutional Governance
13,"company, spices, fy26, growth, limited",9,Cross-Cutting & Institutional Governance
14,"slavery, modern slavery, modern, supply, actors",9,Cross-Cutting & Institutional Governance
