Topic,Words,Frequency,Class
-1,"mpeda, scheme, impact, evaluation, sector scheme",16,A
0,"eu, export, ex, food, spices",82,A
1,"rice, philippines, apeda, ee, export",3,A
5,"value, exports, usd, volume, export",1,A
6,"shall, food, meat, used, storage",12,A
-1,"trade, india, said, export, global",31,B
0,"products, european, export, eu, trade",7,B
1,"export, agricultural, apeda, said, farmers",35,B
2,"tea, nepal, said, india, indian",34,B
3,"fisheries, seafood, exports, global, value",19,B
4,"yogi, opportunities, businesses, indias, minister",18,B
5,"cent, exports, value, volume, growth",14,B
6,"curry, cut, oil, meat, cook",2,B
