Topic,Words,Frequency,Class
-1,"pdf download, format pdf, pdf, format, download",4,Yes
0,"csr, schedule vii, vii, rural, eligible",1,Yes
1,"spices, eu, export, food, iec",13,Yes
2,"author, user, sir, iec, code",14,Yes
3,"tea, nepal, indian, testing, percent",2,Yes
6,"apeda, tracenet, eu, vegetables, fruits",7,Yes
8,"comments, businessline, release, editorial, journalist",1,Yes
9,"shrestha, ventures, generation, indias, structured",4,Yes
-1,"export, mpeda, india, exports, said",78,No
0,"supply, chain, al, supply chain, et",99,No
1,"eu, ex, export, products, regulation",83,No
2,"author, user, sir, iec, details",27,No
3,"tea, nepal, said, india, cardamom",31,No
4,"export, mangoes, agricultural, apeda, district",26,No
5,"rice, tonnes, said, million, industry",24,No
6,"apeda, products, profile, organic, cereals",12,No
7,"fisheries, seafood, exports, minister, value",18,No
8,"news, comments, india, highest, english",15,No
9,"yogi, millet, opportunities, minister, indias",12,No
10,"ting, sustainability, ar, inf, mation",16,No
11,"shall, food, meat, storage, water",12,No
12,"value, cent, volume, exports, export",10,No
